"﻿Question",Category,Comment,Phase
How do you feel about [paraphrase? How exactly did it influence your work/private life/plans?,Importance,This question helps you understand how important the problem is.,Interview
Would you be open to follow-up conversations if we have more questions in the future?,Recruiting,Recruiting more participants.,Conclusion
What other solutions did you try? Why or why not?,New customer,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
How have things changed in your role or industry since you started?,General,"This question acknowledges their expertise and experience, inviting them to share their insights.",Introduction
"If you had a magic wand, what one thing would you change about your current tools or processes?",General,"A general, easy-to-answer, open-ended question that might result in a surprising answer.",Introduction
"Reflecting on our conversation, what do you think is the most important aspect that we should focus on?",Insights,Something might have changed as the result of the interview. It's an opportunity for more insights.,Conclusion
Where were you?,Storytelling,Story details,Interview
"I noticed [something relevant about their company or role from your research], could you tell me more about that?",General,Referencing your homework about them or their organization demonstrates your commitment and respect for their time.,Introduction
What time of day was it?,Storytelling,Story details,Interview
Can you describe a moment when our product didn't meet your expectations?,Storytelling,Starting a specific story,Interview
"Before we dive into specifics, I’d love to hear more about your experience with [relevant topic or product]",General,"This allows them to share their general feelings or thoughts, setting the stage for more detailed questions later.",Introduction
Can you think of any additional resources or support that would enhance your experience with [product]?,Insights,Something might have changed as the result of the interview. It's an opportunity for more insights.,Conclusion
Have you used our product in an unconventional or creative way? Can you share that experience?,Storytelling,Starting a specific story,Interview
What initially interested you in [their area of expertise]?,General,Asking about their journey into their field shows a genuine interest in their background and can be a great ice-breaker.,Introduction
"Outside of work, what are your interests or hobbies?",General,"Personal, non-work related questions can help relax the atmosphere and show you see them as more than just a research subject.",Introduction
What’s something you’re trying to achieve in your role that our product doesn’t currently support?,General,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
"When recommending our product to someone, what would you say? [Or better: Did you recommend…. Tell me…]",General,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
Is there anything you feel is missing in the market that could help you with [specific task or problem]?,General,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
When [job step] how important it is for you to achieve [outcome]?,JTBD,Jobs-to-be-Done question,Interview
What did you imagine using this product/service would be like?,New customer,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
You told [paraphrase]. Is that correct? Could you help me understand it better? Why is it a problem for you?,Root cause analysis,This question helps you get to the root cause of the problem.,Interview
Tell me about the time when our product impacted the relationships or interactions you have with your customers?,Storytelling,Starting a specific story,Interview
How much time did you spend trying to solve this?,Storytelling,"If they haven't spent much time and didn't solve the problem, it's not important.",Interview
Did someone help you?,Storytelling,Story details,Interview
What was the conversation like when you talked about [topic of the conversation]?,Storytelling,Story details,Interview
Why is it a problem for you? What were te consequences the last time?,Feature requests,,Interview
What happened next?,Storytelling,This question prompts the person to continue the story.,Interview
"How do you measure success in your role, and how does [specific task or process] contribute to that?",General,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
"If you had to explain your job to a child, how would you describe it?",General,This fun question can be a lighthearted way to break the ice and explain roles simply.,Introduction
Were there any questions you expected me to ask that I didn’t?,Important details,Ensure you didn't miss anything important,Conclusion
"Are there any external factors that influence how you use our product (e.g., industry trends, organizational changes)?",General,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
What was the biggest challenge you faced when learning to use our product? Tell me about that.,Storytelling,Starting a specific story,Interview
"How do you measure success in your role, and how does [specific task or process] contribute to that?",New customer,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
It’s such a fascinating field. How does it feel to [do something meaningful],General,This question allow them to share what they are passionate about and connect on a more human level.,Introduction
Is there a particular aspect of the product you find confusing or overly complex?,General,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
"When choosing a tool or solution for [specific task], what factors are most important to you?",New customer,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
What triggered you to think about [action/product]?,Storytelling,Story details,Interview
I’ve always been interested in…because [something relevant]. How did you manage to break into [specific field]?,General,"This question demonstrates your interest in their field, acknowledges their success, and can be an excellent ice-breaker.",Introduction
What other solutions did you consider before trying the product?,New customer,,Interview
"If this product wasn't available to you, what would you do instead?",New customer,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
How do you stay informed or up-to-date in your field?,General,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
Have you tried any workarounds? Can you describe them?,Storytelling,"If they haven't tried to find a workaround and didn't solve the problem, it's not important.",Interview
Is there a particular project or achievement in your career that you're especially proud of?,General,This question allows them to share successes and fosters a positive tone.,Introduction
When did you first realize you needed something to solve your problem? Tell me about that situation.,New customer,,Interview
How would you summarize your overall experience with [product] in a few sentences?,Insights,Something might have changed as the result of the interview. It's an opportunity for more insights.,Conclusion
When [job step] how satisfied are you with your ability to achieve [outcome]?,JTBD,Jobs-to-be-Done question,Interview
Do you have any final thoughts or comments about the topics we discussed today?,Insights,Something might have changed as the result of the interview. It's an opportunity for more insights.,Conclusion
Is there anything we haven’t covered that you think is important for us to know about your experience with [product]?,Important details,Ensure you didn't miss anything important,Conclusion
"Did you have any anxiety about the purchase? ",New customer,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
Tell me about a specific time when [something],Storytelling,Starting a specific story,Interview
Have you ever felt frustrated while using our product? Can you tell me about that experience?,Storytelling,Starting a specific story,Interview
Is there anything you found particularly enjoyable or frustrating about this interview? What could we improve?,General,This question helps you get feedback,Conclusion
"Based on our discussion, what should be our immediate next steps?",General,This question helps you understand what their conclusions are.,Conclusion
Can you walk me through the last time you encountered a problem with [specific task or process]?,Storytelling,Starting a specific story,Interview
Did you talk to anyone else about what choices you were considering? Tell me about that situation.,New customer,,Interview
Can you recall a recent situation where you felt our product significantly saved your time or effort?,Storytelling,Starting a specific story,Interview
"What I'm hearing is [paraphrase]. What exactly were the consequences? ",Importance,This question helps you understand how important the problem is.,Interview
Do you know of anyone else who might have valuable insights into [product] to who we should talk?,Recruiting,Recruiting more participants.,Conclusion
What’s your ideal outcome for [specific task or challenge]?,General,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
Are there any trends or changes in your industry that are influencing how you approach [specific task or process]?,General,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
What would that do for you if you had that feature?,Feature requests,"Be careful as this is asking for an opinion. Still, it might be helpful in some contexts.",Interview
Could you tell me a little about your role and what a typical day looks like?,General,This open-ended question allows the participant to start with familiar territory – their daily routine.,Introduction
What tools or methods did you use?,Storytelling,"This question helps you understand alternatives, even if they are not direct competitors.",Interview
