Name,Category,Comment,Formula,👥 Author
https://docs.google.com/document/d/18FiJbYn53fTtPmphfdCKT2TMWH-8Y2L-MLqDk-MFV4s/edit,"Business and Strategy, People, Product Discovery",A fantastic collection of PM templates,Product Templates Curriculum by Matt Mochary,Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://jeffgothelf.com/blog/the-hypothesis-prioritization-canvas/,Experimentation,,Hypothesis prioritization canvas,Untitled (https://www.notion.so/890989b88a02464bad873e61184d1486?pvs=21)
https://docs.google.com/spreadsheets/d/1fJHO3lY3hqpiWkT6ixnvXMx4pEUU_fJBPw-CFoPpGQw/edit?usp=drive_link,Business and Strategy,My favorite approach to formulate a value proposition and compare your product with the products of your competitors,Value Curve,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://miro.com/templates/competitor-analysis/,Business and Strategy,Identify the other companies you're competing with and how your product compares,Competitive Analysis,
https://miro.com/templates/gap-analysis/,Business and Strategy,Identify what’s missing from company products,Gap Analysis,
https://docs.google.com/presentation/d/1X8TxsbeKIDTe7p-p_sCiFMJyvrduEaO4/edit?usp=drive_link&ouid=111307342557889008106&rtpof=true&sd=true,Execution,,Stakeholder’s Map,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://miro.com/miroverse/impact-mapping/,Product Discovery,Set business goals and outline how to achieve them,Impact Mapping,Untitled (https://www.notion.so/a7e5d30aa14a463384af892d73525124?pvs=21)
https://www.strategyzer.com/hubfs/Assets%20-%20Downloads/the-test-card-1.pdf (PDF) + https://youtu.be/cW46ySJmLD8 (3:04),Experimentation,,Strategyzer Test Card (PDF) + YouTube video (3:04),Untitled (https://www.notion.so/c67ee24c32d44392bd2f9eb08be958b8?pvs=21)
https://docs.google.com/presentation/d/1jg-LuF_3QHsf6f1nE1f98i4C0aulnRNMOO1jftgti8M/edit#slide=id.g796641d975_0_3,Product Discovery,,Opportunity Score - Dan Olsen’s template + visualization,Untitled (https://www.notion.so/1f4db4fbfe044094be29fd8ea472c55f?pvs=21)
https://miro.com/templates/decision-tree/,Execution,"Explore, plan and predict several possible outcomes to your decisions",Decision Tree,
https://drive.google.com/file/d/1p7q6S6ppI4zLenwA8obpt8OWBptlRjQa/view?usp=share_link,Business and Strategy,A Strategyzer template from Value Proposition Design,Value Proposition Canvas,Untitled (https://www.notion.so/c67ee24c32d44392bd2f9eb08be958b8?pvs=21)
https://miro.com/miroverse/usability-test-analysis/,Experimentation,A template to gather and analyze feedback from usability tests,Usability Test Analysis,
https://docs.google.com/presentation/d/1hgz250jgK4TXIDoPQFoomRNW5cWtV8Q2/edit?usp=share_link&ouid=111307342557889008106&rtpof=true&sd=true,Business and Strategy,"An editable version of Strategyzer’s template, based on Business Model Generation",Business Model Canvas,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://docs.google.com/spreadsheets/d/1aZMm3Cl_FJrLOL-Us3hZDRWgfZMZGHFScpouEn6LHMM/edit?usp=sharing,Product Discovery,Tracking and experimenting with hypotheses,Assumption Tracker,Untitled (https://www.notion.so/9c46a9e43bcb4fa5a193cf03481a5496?pvs=21)
https://drive.google.com/file/d/1Hli4pRY7oEcAuF6Yf2FbZjpkQCguvjl6/view?usp=share_link,Execution,,Prioritization: Filter out distractions and commit to valuable opportunities,Untitled (https://www.notion.so/26769d631f7d46a89f9ce40f29d5fecb?pvs=21)
https://www.notion.so/templates/product-launch-assets,Execution,,Product Launch Assets (w/ Notion AI),Untitled (https://www.notion.so/75c2e6ead0514fe298d9797df243ce36?pvs=21)
https://jackiebo.medium.com/asanas-spec-template-spec-training-33bfd9d4dd32,Execution,,"Product Brief, PRD, Spec",Untitled (https://www.notion.so/3cb14c7723cf413b90aeb44b0febdbcd?pvs=21)
https://docs.google.com/document/d/1jOoTu44L22LG-_DfnTNdscBg2EJ_dSZgTujc5utK4yc/edit#heading=h.b81xwnfqvmsc,Product Discovery,,Issue / Proposed Solution template (group),Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://docs.google.com/document/d/18PY7r06cNls4AqWfqXMZo95oVyeSE-GI1zFYllCVy9A/edit,Business and Strategy,,Investor Update Template,Untitled (https://www.notion.so/9c46a9e43bcb4fa5a193cf03481a5496?pvs=21)
